CoDeSys Trace
C:\Users\s182059\Desktop\31342-Introduction-to-programmable-logic-controllers-DTU\Uge9 - Coms\pou.pro
Zeit PLC_PRG.temperaturefloat PLC_PRG.rate 
36600 20.95 -5.000019e-002 
36720 20.95 -5.000019e-002 
36840 20.95 -5.000019e-002 
36960 20.95 -5.000019e-002 
37080 20.95 -4.999924e-002 
37200 20.95 -4.999924e-002 
37320 20.95 -4.999924e-002 
37440 20.95 -4.999924e-002 
37560 20.95 -4.999924e-002 
37680 20.95 -4.999924e-002 
37800 20.95 -4.999924e-002 
37920 20.85 -4.999924e-002 
38040 20.85 -4.999924e-002 
38160 20.85 -4.999924e-002 
38280 20.85 -4.999924e-002 
38400 20.85 -4.999924e-002 
38520 20.85 -4.999924e-002 
38640 20.85 -4.999924e-002 
38760 20.85 -4.999924e-002 
38880 20.85 -4.999924e-002 
39000 20.85 -4.999924e-002 
39120 20.85 -5.000019e-002 
39240 20.85 -5.000019e-002 
39360 20.85 -5.000019e-002 
39480 20.85 -5.000019e-002 
39600 20.75 -5.000019e-002 
39720 20.75 -5.000019e-002 
39840 20.75 -5.000019e-002 
39960 20.75 -5.000019e-002 
40080 20.75 -5.000019e-002 
40200 20.75 -5.000019e-002 
40320 20.75 -5.000019e-002 
40440 20.75 -5.000019e-002 
40560 20.75 -5.000019e-002 
40680 20.75 -5.000019e-002 
40800 20.75 -5.000019e-002 
40920 20.75 -5.000019e-002 
41040 20.75 -5.000019e-002 
41160 20.75 -5.000019e-002 
41280 20.75 -5.000019e-002 
41400 20.75 -5.000019e-002 
41520 20.75 -5.000019e-002 
41640 20.75 -5.000019e-002 
41760 20.75 -5.000019e-002 
41880 20.75 -5.000019e-002 
42000 20.65 -5.000019e-002 
42120 20.65 -5.000019e-002 
42240 20.65 -5.000019e-002 
42360 20.65 -5.000019e-002 
42480 20.65 -5.000019e-002 
42600 20.65 -5.000019e-002 
42720 20.65 -5.000019e-002 
42840 20.65 -5.000019e-002 
42960 20.65 -5.000019e-002 
43080 20.65 -5.000019e-002 
43200 20.65 -5.000019e-002 
43320 20.65 -5.000019e-002 
43440 20.65 -5.000019e-002 
43560 20.65 -5.000019e-002 
43680 20.55 -5.000019e-002 
43800 20.55 -5.000019e-002 
43920 20.55 -5.000019e-002 
44040 20.55 -5.000019e-002 
44160 20.55 -5.000019e-002 
44280 20.55 -5.000019e-002 
44400 20.55 -5.000019e-002 
44520 20.55 -5.000019e-002 
44640 20.55 -5.000019e-002 
44760 20.55 -5.000019e-002 
44880 20.55 -5.000019e-002 
45000 20.55 -5.000019e-002 
45120 20.55 -5.000019e-002 
45240 20.55 -5.000019e-002 
45360 20.65 -5.000019e-002 
45480 20.65 -5.000019e-002 
45600 20.65 -5.000019e-002 
45720 20.65 -5.000019e-002 
45840 20.65 -5.000019e-002 
45960 20.65 -5.000019e-002 
46080 20.65 -5.000019e-002 
46200 20.65 -5.000019e-002 
46320 20.65 -5.000019e-002 
46440 20.65 -5.000019e-002 
46560 20.65 -5.000019e-002 
46680 20.65 -5.000019e-002 
46800 20.65 -5.000019e-002 
46920 20.75 -5.000019e-002 
47040 20.75 -5.000019e-002 
47160 20.75 0.1000004 
47280 20.75 0.1000004 
47400 20.75 0.1000004 
47520 20.75 0.1000004 
47640 20.75 0.1000004 
47760 20.75 0.1000004 
47880 20.75 0.1000004 
48000 20.75 0.1000004 
48120 20.75 0.1000004 
48240 20.75 0.1000004 
48360 20.75 0.1000004 
